titleType,primaryTitle,isAdult,year,runtimeMinutes,genres,averageRating,numVotes
movie,Sweet Home Alabama,0,2002,108,Comedy,6.2,109824
movie,Sweet Home Alabama,0,2002,108,Romance,6.2,109824
movie,The Curse of the Jade Scorpion,0,2001,103,Comedy,6.7,40305
movie,The Curse of the Jade Scorpion,0,2001,103,Crime,6.7,40305
movie,The Curse of the Jade Scorpion,0,2001,103,Mystery,6.7,40305
movie,Road to Perdition,0,2002,117,Crime,7.7,260928
movie,Road to Perdition,0,2002,117,Drama,7.7,260928
movie,Road to Perdition,0,2002,117,Thriller,7.7,260928
movie,S.W.A.T.,0,2003,117,Action,6.1,144846
movie,S.W.A.T.,0,2003,117,Adventure,6.1,144846
movie,S.W.A.T.,0,2003,117,Crime,6.1,144846
movie,Scary Movie 2,0,2001,83,Comedy,5.3,157987
movie,About Schmidt,0,2002,125,Comedy,7.1,127415
movie,About Schmidt,0,2002,125,Drama,7.1,127415
movie,Cursed,0,2005,97,Comedy,5.0,32324
movie,Cursed,0,2005,97,Horror,5.0,32324
movie,Kangaroo Jack,0,2003,89,Action,4.4,31211
movie,Kangaroo Jack,0,2003,89,Adventure,4.4,31211
movie,Kangaroo Jack,0,2003,89,Comedy,4.4,31211
movie,High Crimes,0,2002,115,Crime,6.4,42187
movie,High Crimes,0,2002,115,Drama,6.4,42187
movie,High Crimes,0,2002,115,Mystery,6.4,42187
movie,Panic Room,0,2002,112,Crime,6.8,273190
movie,Panic Room,0,2002,112,Drama,6.8,273190
movie,Panic Room,0,2002,112,Thriller,6.8,273190
movie,The Quiet American,0,2002,101,Drama,7.0,28103
movie,The Quiet American,0,2002,101,Romance,7.0,28103
movie,The Quiet American,0,2002,101,Thriller,7.0,28103
movie,S1m0ne,0,2002,117,Comedy,6.1,60271
movie,S1m0ne,0,2002,117,Drama,6.1,60271
movie,S1m0ne,0,2002,117,Sci-Fi,6.1,60271
movie,The Bourne Identity,0,2002,119,Action,7.9,533113
movie,The Bourne Identity,0,2002,119,Mystery,7.9,533113
movie,The Bourne Identity,0,2002,119,Thriller,7.9,533113
movie,Bubble Boy,0,2001,84,Adventure,5.6,32892
movie,Bubble Boy,0,2001,84,Comedy,5.6,32892
movie,Bubble Boy,0,2001,84,Romance,5.6,32892
movie,Dragonfly,0,2002,104,Drama,6.1,38146
movie,Dragonfly,0,2002,104,Fantasy,6.1,38146
movie,Dragonfly,0,2002,104,Mystery,6.1,38146
movie,Ghost Rider,0,2007,110,Action,5.3,232940
movie,Ghost Rider,0,2007,110,Fantasy,5.3,232940
movie,Ghost Rider,0,2007,110,Thriller,5.3,232940
movie,My Big Fat Greek Wedding,0,2002,95,Comedy,6.6,127740
movie,My Big Fat Greek Wedding,0,2002,95,Drama,6.6,127740
movie,My Big Fat Greek Wedding,0,2002,95,Romance,6.6,127740
movie,Vanilla Sky,0,2001,136,Fantasy,6.9,259475
